highway;other_tags;ame_d;ame_g
path;"""bicycle""=>""designated"",""description""=>""2010/NT/R/DGU-P400"",""foot""=>""designated"",""horse""=>""no"",""lit""=>""yes"",""segregated""=>""no"",""smoothness""=>""intermediate"",""surface""=>""asphalt""";VOIE VERTE;VOIE VERTE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""horse""=>""no"",""lit""=>""yes"",""segregated""=>""yes"",""smoothness""=>""good"",""surface""=>""paved""";VOIE VERTE;VOIE VERTE
footway;"""bicycle""=>""designated"",""foot""=>""designated""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
path;"""bicycle""=>""designated"",""cycleway""=>""crossing"",""foot""=>""designated"",""footway""=>""crossing"",""oneway:bicycle""=>""yes"",""segregated""=>""yes"",""surface""=>""paved""";VOIE VERTE;AUCUN
cycleway;"""cycleway:surface""=>""asphalt"",""foot""=>""yes"",""footway:surface""=>""asphalt"",""lit""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""cycleway:right""=>""lane"",""maxspeed""=>""50"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
secondary;"""cycleway:left""=>""track"",""cycleway:right""=>""no"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""no"",""parking:lane:left""=>""parallel"",""surface""=>""asphalt""";AUCUN;PISTE CYCLABLE
tertiary;"""bicycle""=>""yes"",""cycleway:right""=>""lane"",""oneway""=>""yes"",""ref""=>""M 27E7"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
tertiary;"""cycleway:right""=>""lane"",""oneway""=>""no"",""ref""=>""M 27E7"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
service;"""admin_level""=>""11"",""boundary""=>""administrative"",""cycleway""=>""opposite"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""smoothness""=>""excellent"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
residential;"""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""ref""=>""M 112"",""surface""=>""asphalt"",""zone:maxspeed""=>""FR:30""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
residential;"""cycleway""=>""opposite_lane"",""maxspeed""=>""30"",""oneway""=>""yes"",""traffic_calming""=>""table""";AUCUN;DOUBLE SENS CYCLABLE BANDE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""yes"",""segregated""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
tertiary;"""cycleway:right""=>""track"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""designated"",""footway""=>""crossing"",""lit""=>""yes"",""oneway""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;AUCUN
footway;"""bicycle""=>""designated"",""cycleway:surface""=>""paving_stones"",""footway:surface""=>""paving_stones"",""lit""=>""yes"",""segregated""=>""yes"",""surface""=>""paving_stones""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
cycleway;"""access""=>""no"",""bicycle""=>""yes"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""horse""=>""no"",""lit""=>""yes"",""motor_vehicle""=>""no"",""segregated""=>""no"",""surface""=>""asphalt"",""width""=>""2""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""designated"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""lit""=>""yes"",""oneway""=>""yes"",""surface""=>""concrete""";PISTE CYCLABLE;AUCUN
footway;"""bicycle""=>""designated"",""footway""=>""sidewalk""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
primary;"""bicycle""=>""yes"",""cyclability""=>""inadvisable"",""cycleway:right""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""maxspeed""=>""50"",""oneway""=>""yes"",""source:maxspeed""=>""sign"",""turn:lanes""=>""left|through|through"",""was:lanes""=>""3""";PISTE CYCLABLE;AUCUN
footway;"""bicycle""=>""yes"",""cyclability""=>""good"",""footway""=>""sidewalk"",""oneway""=>""no"",""segregated""=>""no""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
cycleway;"""cyclability""=>""good"",""oneway""=>""no"",""segregated""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""designated"",""segregated""=>""no"",""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""oneway""=>""yes"",""start_date""=>""2018""";PISTE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""designated"",""cycleway""=>""crossing"",""foot""=>""yes"",""lcn""=>""yes"",""oneway:bicycle""=>""yes"",""segregated""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""cycleway:left""=>""no"",""cycleway:right""=>""no"",""maxspeed""=>""30"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""surface""=>""asphalt"",""zone:maxspeed""=>""FR:30""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
service;"""access""=>""no"",""bicycle""=>""permissive"",""foot""=>""permissive"",""horse""=>""no"",""maxspeed""=>""25"",""motor_vehicle""=>""no""";AUTRE;AUTRE
service;"""access""=>""permissive"",""motor_vehicle""=>""no""";AUTRE;AUTRE
secondary;"""alt_name""=>""Avenue de l'École d'Agriculture Gabriel Buchet"",""cycleway:right""=>""lane"",""maxspeed""=>""30"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
tertiary;"""cycleway""=>""lane"",""maxspeed""=>""30"",""maxweight""=>""7.5"",""parking:lane:both""=>""parallel""";BANDE CYCLABLE;BANDE CYCLABLE
tertiary;"""cycleway""=>""opposite"",""maxspeed""=>""30"",""oneway""=>""yes"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""oneway""=>""yes"",""oneway:foot""=>""no"",""segregated""=>""yes""";VOIE VERTE;AUCUN
path;"""bicycle""=>""designated"",""foot""=>""designated"",""oneway:bicycle""=>""yes"",""oneway:foot""=>""no"",""segregated""=>""no""";VOIE VERTE;AUCUN
tertiary;"""cycleway:right""=>""lane"",""junction""=>""roundabout"",""lit""=>""yes"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
footway;"""bicycle""=>""yes"",""footway""=>""sidewalk"",""lit""=>""yes""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
cycleway;"""foot""=>""yes"",""footway""=>""crossing"",""lit""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
footway;"""bicycle""=>""yes"",""footway""=>""sidewalk"",""footway:surface""=>""asphalt"",""lit""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
service;"""access""=>""no"",""bicycle""=>""permissive"",""foot""=>""permissive"",""horse""=>""no"",""motor_vehicle""=>""no"",""surface""=>""asphalt""";AUTRE;AUTRE
primary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""50"",""oneway""=>""yes"",""sidewalk""=>""both"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
primary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""3"",""lit""=>""yes"",""maxspeed""=>""50"",""oneway""=>""yes"",""sidewalk""=>""both"",""surface""=>""asphalt"",""turn:lanes""=>""left|through|through""";COULOIR BUS+VELO;AUCUN
primary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cyclability""=>""inadvisable"",""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""50"",""oneway""=>""yes"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
cycleway;"""lit""=>""yes"",""oneway""=>""yes"",""smoothness""=>""good"",""source:width""=>""ARCore"",""surface""=>""concrete"",""width""=>""1.5""";PISTE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""foot""=>""designated"",""lit""=>""yes"",""motor_vehicle""=>""no"",""segregated""=>""no"",""surface""=>""concrete""";VOIE VERTE;VOIE VERTE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""designated"",""footway""=>""sidewalk"",""motor_vehicle""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""bicycle""=>""designated"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
residential;"""cycleway""=>""lane"",""lanes""=>""2"",""maxspeed""=>""30"",""maxspeed:type""=>""FR:urban"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""footway:surface""=>""asphalt"",""lit""=>""no"",""motor_vehicle""=>""no"",""segregated""=>""yes"",""surface""=>""asphalt""";VOIE VERTE;VOIE VERTE
tertiary;"""cycleway:left""=>""lane"",""cycleway:left:lane""=>""advisory"",""cycleway:right""=>""no"",""lanes""=>""2"",""maxspeed""=>""30"",""parking:lane:right""=>""parallel"",""start_date:cycleway""=>""2018-09-03"",""surface""=>""asphalt""";AUCUN;BANDE CYCLABLE
tertiary;"""cycleway:left""=>""lane"",""cycleway:left:lane""=>""advisory"",""cycleway:right""=>""no"",""lanes""=>""2"",""maxspeed""=>""30"",""start_date:cycleway:left""=>""2018-09-03"",""surface""=>""asphalt""";AUCUN;BANDE CYCLABLE
tertiary;"""cycleway:left""=>""lane"",""cycleway:left:lane""=>""advisory"",""cycleway:right""=>""no"",""lanes""=>""2"",""maxspeed""=>""30"",""parking:lane:right""=>""parallel"",""start_date:cycleway:left""=>""2018-09-03"",""surface""=>""asphalt""";AUCUN;BANDE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""oneway""=>""yes"",""start_date""=>""2018""";PISTE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""crossing"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
footway;"""bicycle""=>""designated"",""lit""=>""yes"",""motor_vehicle""=>""destination"",""segregated""=>""no"",""surface""=>""paving_stones""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
cycleway;"""smoothness""=>""excellent"",""start_date""=>""2018"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""description""=>""was a footway with paint allowing for bicycles until the pavement was repaired ; paint disappeared"",""foot""=>""yes"",""oneway""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""foot""=>""designated"",""footway""=>""sidewalk"",""lit""=>""yes"",""oneway:bicycle""=>""yes"",""segregated""=>""no"",""smoothness""=>""excellent"",""surface""=>""concrete:plates""";VOIE VERTE;AUCUN
cycleway;"""cycleway""=>""crossing"",""cycleway:surface""=>""asphalt"",""foot""=>""yes"",""footway:surface""=>""asphalt"",""oneway""=>""yes"",""segregated""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""foot""=>""yes"",""lit""=>""yes"",""oneway""=>""yes"",""surface""=>""compacted""";PISTE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""designated"",""lit""=>""yes"",""oneway""=>""yes"",""segregated""=>""no"",""surface""=>""paving_stones""";PISTE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""designated"",""foot""=>""permissive"",""motor_vehicle""=>""no"",""oneway""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""access""=>""no"",""bicycle""=>""designated"",""foot""=>""designated"",""lit""=>""yes"",""motor_vehicle""=>""no"",""rcn""=>""yes"",""surface""=>""paved""";VOIE VERTE;VOIE VERTE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""cycleway:surface""=>""concrete"",""description""=>""2011/NT/R/DGU-P 128"",""foot""=>""designated"",""footway:surface""=>""asphalt"",""lit""=>""yes"",""oneway""=>""no"",""segregated""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""description""=>""2011/NT/R/DGU-P 128"",""foot""=>""designated"",""oneway""=>""no"",""segregated""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""old_name""=>""Via Tolosana""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""oneway""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;AUCUN
tertiary;"""cycleway""=>""lane"",""ref:FR:FANTOIR""=>""342590132G""";BANDE CYCLABLE;BANDE CYCLABLE
track;"""motor_vehicle""=>""no"",""surface""=>""unpaved""";AUTRE;AUTRE
cycleway;"""bicycle""=>""designated"",""cycleway:surface""=>""concrete"",""foot""=>""designated"",""footway:surface""=>""concrete"",""segregated""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""foot""=>""yes"",""oneway:bicycle""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""bicycle""=>""designated"",""cyclability""=>""good"",""foot""=>""designated"",""oneway""=>""no"",""segregated""=>""no"",""surface""=>""asphalt""";VOIE VERTE;VOIE VERTE
cycleway;"""bicycle""=>""designated"",""cycleway:surface""=>""concrete"",""foot""=>""designated"",""footway:surface""=>""concrete"",""oneway""=>""no"",""segregated""=>""yes"",""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cyclability""=>""good"",""cycleway:surface""=>""concrete"",""footway:surface""=>""concrete"",""lit""=>""yes"",""oneway""=>""no"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bridge""=>""yes"",""cyclability""=>""good"",""cycleway:surface""=>""concrete"",""footway:surface""=>""concrete"",""layer""=>""1"",""lit""=>""yes"",""oneway""=>""no"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""horse""=>""permissive"",""segregated""=>""no"",""smoothness""=>""good"",""surface""=>""unpaved""";VOIE VERTE;VOIE VERTE
secondary;"""alt_name""=>""Avenue du Professeur Louis Ravaz"",""cycleway""=>""lane"",""maxspeed""=>""30"",""parking:lane:both""=>""diagonal"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
cycleway;"""smoothness""=>""excellent"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes"",""start_date""=>""2018""";PISTE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""bridge""=>""yes"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""layer""=>""1""";VOIE VERTE;VOIE VERTE
cycleway;"""description""=>""2016-P 110"",""foot""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""description""=>""2016-P 110"",""lit""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""description""=>""2016-P 110"",""foot""=>""designated"",""lit""=>""yes"",""oneway""=>""no"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
footway;"""bicycle""=>""designated"",""description""=>""2016-P 110"",""foot""=>""designated"",""segregated""=>""no"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
cycleway;"""ref:MMM""=>""2016-P 110"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""cycleway:right""=>""lane"",""cycleway:start_date""=>""2017"",""maxspeed""=>""30"",""tunnel""=>""building_passage""";BANDE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""foot""=>""designated"",""horse""=>""permissive"",""segregated""=>""no"",""smoothness""=>""good"",""surface""=>""asphalt""";VOIE VERTE;VOIE VERTE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""motor_vehicle""=>""no"",""oneway""=>""no"",""surface""=>""asphalt"",""width""=>""4""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""bicycle""=>""designated"",""cycleway:surface""=>""asphalt"",""foot""=>""designated"",""footway:surface""=>""asphalt"",""segregated""=>""yes""";VOIE VERTE;VOIE VERTE
secondary;"""admin_level""=>""11"",""boundary""=>""administrative"",""cycleway:left""=>""no"",""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""lanes""=>""3"",""lanes:backward""=>""2"",""maxspeed""=>""30"",""parking:lane:left""=>""parallel"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
cycleway;"""lit""=>""no"",""oneway""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""oneway""=>""no"",""segregated""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""yes"",""cycleway""=>""sidewalk"",""foot""=>""yes"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
residential;"""cycleway""=>""opposite"",""maxspeed""=>""30"",""oneway""=>""yes""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""surface""=>""asphalt""";VOIE VERTE;VOIE VERTE
cycleway;"""bridge""=>""yes"",""layer""=>""1"",""lcn""=>""yes"",""lit""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""junction""=>""roundabout"",""lanes""=>""2"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
primary;"""cyclability""=>""inadvisable"",""cycleway""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""oneway""=>""no"",""surface""=>""asphalt"",""turn:lanes:backward""=>""left;through|through;right"",""was:lanes""=>""4""";PISTE CYCLABLE;PISTE CYCLABLE
primary;"""cyclability""=>""good"",""cycleway""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""oneway""=>""no"",""turn:lanes:forward""=>""left;through|through"",""was:lanes""=>""4""";PISTE CYCLABLE;PISTE CYCLABLE
primary;"""cyclability""=>""good"",""cycleway""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""oneway""=>""no"",""was:lanes""=>""4""";PISTE CYCLABLE;PISTE CYCLABLE
primary;"""cyclability""=>""inadvisable"",""cycleway""=>""no"",""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""50"",""oneway""=>""yes"",""surface""=>""asphalt"",""was:lanes""=>""2""";COULOIR BUS+VELO;AUCUN
primary;"""cyclability""=>""inadvisable"",""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""4"",""lanes:bus:forward""=>""1"",""lit""=>""yes"",""maxspeed""=>""50"",""oneway""=>""no"",""overtaking""=>""no"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
primary;"""cyclability""=>""inadvisable"",""cycleway""=>""no"",""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""lanes:bus""=>""1"",""maxspeed""=>""50"",""oneway""=>""yes"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
primary;"""cyclability""=>""inadvisable"",""cycleway""=>""no"",""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""1"",""lit""=>""yes"",""maxspeed""=>""50"",""oneway""=>""yes"",""sidewalk""=>""right"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
secondary;"""bicycle""=>""yes"",""cyclability""=>""good"",""cycleway:right""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""segregated""=>""no"",""surface""=>""asphalt"",""turn:lanes""=>""left|through|through;right"",""was:lanes""=>""3""";PISTE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""source:maxspeed""=>""sign"",""turn:lanes""=>""through|through;right"",""was:lanes""=>""2""";PISTE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""designated"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""bicycle""=>""yes"",""cycleway:right""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""3"",""maxspeed""=>""30"",""oneway""=>""no"",""parking:lane:right""=>""parallel"",""source:maxspeed""=>""sign"",""surface""=>""asphalt"",""turn:lanes:backward""=>""left;through|through"",""was:lanes""=>""2""";PISTE CYCLABLE;AUCUN
secondary;"""bicycle""=>""yes"",""cycleway:right""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""3"",""maxspeed""=>""30"",""oneway""=>""no"",""parking:lane:right""=>""parallel"",""source:maxspeed""=>""sign"",""surface""=>""asphalt"",""was:lanes""=>""4""";PISTE CYCLABLE;AUCUN
cycleway;"""foot""=>""designated"",""footway""=>""crossing"",""oneway""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;AUCUN
cycleway;"""foot""=>""designated"",""oneway""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;AUCUN
secondary;"""cycleway:left""=>""no"",""cycleway:right""=>""lane"",""cycleway:right:lane""=>""advisory"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""embankment""=>""yes"",""foot""=>""designated"",""motor_vehicle""=>""no"",""tracktype""=>""grade2""";VOIE VERTE;VOIE VERTE
secondary;"""alt_name""=>""Avenue de l'École d'Agriculture-Gabriel Buchet"",""cycleway""=>""lane"",""maxspeed""=>""30"",""parking:lane:both""=>""diagonal"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
cycleway;"""bicycle""=>""designated"",""bridge""=>""yes"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""layer""=>""1""";PISTE CYCLABLE;PISTE CYCLABLE
tertiary;"""cycleway:left""=>""lane"",""cycleway:left:lane""=>""exclusive"",""cycleway:right""=>""no"",""maxspeed""=>""30"",""source:maxspeed""=>""sign""";AUCUN;BANDE CYCLABLE
residential;"""cycleway:left""=>""lane"",""cycleway:left:lane""=>""advisory"",""cycleway:right""=>""no"",""maxspeed""=>""30"",""source:maxspeed""=>""sign""";AUCUN;BANDE CYCLABLE
secondary;"""cycleway:right""=>""track"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""parking:lane:left""=>""parallel"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""crossing""=>""marked"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
living_street;"""bicycle""=>""yes"",""cycleway:left""=>""no"",""cycleway:right""=>""no"",""foot""=>""yes"",""lit""=>""yes"",""maxspeed""=>""10"",""motor_vehicle""=>""designated"",""psv""=>""yes"",""sidewalk""=>""right"",""sidewalk:right:bicycle""=>""yes"",""surface""=>""concrete""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AUCUN
tertiary;"""alt_name""=>""Avenue du Professeur Louis Ravaz"",""cycleway:both""=>""lane"",""cycleway:both:lane""=>""advisory"",""lanes""=>""2"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
tertiary;"""cycleway:right""=>""track"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""sidewalk""=>""both"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
tertiary;"""cycleway:right""=>""track"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
secondary;"""cycleway:left""=>""share_busway"",""lanes""=>""3"",""maxspeed""=>""30"",""surface""=>""asphalt""";AUCUN;COULOIR BUS+VELO
living_street;"""access""=>""destination"",""bicycle""=>""designated"",""capacity:disabled""=>""1"",""lanes""=>""1"",""maxspeed""=>""10"",""maxweight""=>""7.5"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""parking:condition:right""=>""disabled"",""parking:lane:right""=>""parallel"",""parking:lane:right:capacity""=>""1"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
living_street;"""access""=>""destination"",""bicycle""=>""designated"",""lanes""=>""1"",""lit""=>""yes"",""maxspeed""=>""10"",""maxweight""=>""7.5"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""parking:lane:right""=>""parallel"",""parking:lane:right:capacity""=>""1"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
cycleway;"""lit""=>""yes"",""oneway""=>""no"",""start_date""=>""2019-12"",""surface""=>""asphalt"",""width""=>""3""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""cycleway:left""=>""opposite_lane"",""maxspeed""=>""50"",""oneway""=>""yes""";AUCUN;DOUBLE SENS CYCLABLE BANDE
cycleway;"""oneway:bicycle""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""oneway:bicycle""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""access""=>""no"",""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""surface""=>""asphalt""";VOIE VERTE;VOIE VERTE
residential;"""bicycle""=>""yes"",""cycleway""=>""lane""";BANDE CYCLABLE;BANDE CYCLABLE
cycleway;"""access""=>""no"",""bicycle""=>""designated"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""designated"",""foot""=>""designated"",""lit""=>""yes"",""oneway""=>""no"",""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
primary;"""cyclability""=>""good"",""cycleway:right""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""1"",""maxspeed""=>""50"",""oneway""=>""yes"",""source:maxspeed""=>""sign"",""was:lanes""=>""2""";PISTE CYCLABLE;AUCUN
primary;"""bicycle""=>""yes"",""cyclability""=>""inadvisable"",""cycleway:right""=>""track"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""1"",""maxspeed""=>""50"",""oneway""=>""yes"",""source:maxspeed""=>""sign""";PISTE CYCLABLE;AUCUN
