highway;other_tags;ame_d;ame_g
secondary;"""admin_level""=>""11"",""boundary""=>""administrative"",""cycleway""=>""lane"",""maxspeed""=>""30"",""parking:lane:both""=>""diagonal"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway:both""=>""lane"",""cycleway:both:lane""=>""exclusive"",""lanes""=>""2"",""maxspeed""=>""30"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""cycleway:right""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""turn:lanes""=>""left;through|right"",""was:lanes""=>""2""";PISTE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cyclability""=>""acceptable"",""cycleway:both""=>""lane"",""cycleway:both:lane""=>""exclusive"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""sidewalk""=>""both"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""cycleway:both""=>""lane"",""cycleway:both:lane""=>""exclusive"",""lanes""=>""2"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""cycleway:right""=>""lane"",""maxspeed""=>""30"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
service;"""access""=>""no"",""bicycle""=>""yes"",""bridge""=>""yes"",""foot""=>""yes"",""layer""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""psv""=>""yes"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
tertiary;"""cycleway:left""=>""track"",""cycleway:left:start_date""=>""2020-01-28"",""description""=>""covid19 : piste cyclable temporaire"",""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";AUCUN;PISTE CYCLABLE
residential;"""cycleway:right""=>""lane"",""maxspeed""=>""30"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""source:maxspeed""=>""sign"",""surface""=>""asphalt"",""was:lanes""=>""2""";PISTE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""designated"",""oneway""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""yes"",""oneway""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;AUCUN
cycleway;"""smoothness""=>""excellent"",""start_date:cycleway""=>""2018"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""cycleway""=>""shared_lane"",""oneway:bicycle""=>""no""";AUTRE;AUTRE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""oneway""=>""no"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
tertiary;"""cycleway:left""=>""track"",""cycleway:left:oneway""=>""-1"",""cycleway:right""=>""no"",""lanes""=>""1"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""sidewalk""=>""both"",""sidewalk:both:surface""=>""asphalt"",""smoothness""=>""good"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE PISTE
residential;"""cycleway:left""=>""no"",""cycleway:right""=>""track"",""lit""=>""yes"",""maxspeed""=>""30"",""maxspeed:type""=>""FR:urban"",""oneway""=>""yes"",""sidewalk""=>""right"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
residential;"""cycleway:left""=>""opposite_track"",""foot""=>""yes"",""lanes""=>""1"",""lit""=>""yes"",""maxspeed""=>""30"",""motor_vehicle""=>""yes"",""oneway""=>""yes"",""smoothness""=>""good"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE PISTE
residential;"""cycleway:right""=>""lane"",""maxspeed""=>""30""";BANDE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""lit""=>""yes"",""oneway""=>""yes"",""ref""=>""M 21"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""oneway""=>""yes"",""ref""=>""M 21"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
cycleway;"""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""track"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""foot""=>""yes"",""motorcar""=>""no"",""motorcycle""=>""yes"",""segregated""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
tertiary;"""alt_name""=>""Avenue du Professeur Louis Ravaz"",""cycleway:left""=>""no"",""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""lanes""=>""3"",""lanes:forward""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""sidewalk""=>""both"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway:right""=>""lane"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""no""";BANDE CYCLABLE;AUCUN
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway:right""=>""lane"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""no"",""parking:lane:both""=>""parallel"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
residential;"""cycleway""=>""opposite"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
residential;"""cycleway""=>""opposite"",""maxspeed""=>""30"",""oneway""=>""yes"",""ref:FR:FANTOIR""=>""341720180M"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
living_street;"""cycleway""=>""opposite"",""lit""=>""yes"",""maxspeed""=>""20"",""oneway""=>""yes"",""smoothness""=>""good"",""source:width""=>""ARCore"",""surface""=>""asphalt"",""width""=>""3.5""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
living_street;"""cycleway""=>""opposite"",""maxspeed""=>""20"",""oneway""=>""yes"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
living_street;"""cycleway""=>""opposite"",""maxspeed""=>""20"",""oneway""=>""yes""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
residential;"""cycleway""=>""opposite"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""sidewalk""=>""both"",""sidewalk:both:surface""=>""asphalt"",""smoothness""=>""excellent"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway:right""=>""lane"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""maxspeed:type""=>""sign"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
primary;"""cycleway:left""=>""share_busway"",""cycleway:right""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""4"",""lit""=>""yes"",""maxspeed""=>""50"",""sidewalk""=>""both"",""surface""=>""asphalt""";PISTE CYCLABLE;COULOIR BUS+VELO
tertiary;"""cycleway""=>""lane"",""maxspeed""=>""30"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
residential;"""bicycle""=>""yes"",""cycleway""=>""lane"",""maxspeed""=>""30""";BANDE CYCLABLE;BANDE CYCLABLE
residential;"""bicycle""=>""yes"",""cycleway""=>""lane"",""maxspeed""=>""30"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
residential;"""cycleway:both""=>""lane"",""cycleway:both:lane""=>""advisory"",""lit""=>""yes"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""1"",""oneway""=>""yes"",""ref""=>""M 21"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
residential;"""cycleway""=>""lane"",""maxspeed""=>""30""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""cycleway:right""=>""share_busway"",""lanes""=>""1"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
residential;"""cycleway""=>""opposite"",""maxspeed""=>""30"",""oneway""=>""yes"",""zone:maxspeed""=>""FR:30""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
unclassified;"""cycleway:right""=>""lane"",""junction""=>""roundabout"",""maxspeed""=>""50""";BANDE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""parking:lane:right""=>""parallel"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
cycleway;"""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""lane"",""cycleway:right:lane""=>""advisory"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""source:maxspeed""=>""FR:urban"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
cycleway;"""foot""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
primary;"""alt_name""=>""Bowstring"",""bridge""=>""yes"",""lanes""=>""2"",""layer""=>""1"",""motor_vehicle""=>""no"",""ref""=>""M 62E3"",""surface""=>""asphalt""";AUTRE;AUTRE
cycleway;"""bicycle""=>""designated"",""lcn""=>""yes"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""designated"",""layer""=>""-1"",""oneway""=>""yes"",""tunnel""=>""yes""";PISTE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""description""=>""2010/NT/R/DGU-P487"",""foot""=>""designated""";VOIE VERTE;VOIE VERTE
cycleway;"""access""=>""no"",""bicycle""=>""designated"",""bridge""=>""yes"",""foot""=>""designated"",""layer""=>""1"",""motor_vehicle""=>""no"",""surface""=>""wood""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""lcn""=>""yes"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
cycleway;"""bridge""=>""yes"",""layer""=>""1""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""cycleway:right""=>""lane"",""oneway""=>""yes"",""ref:FR:FANTOIR""=>""341980326H""";BANDE CYCLABLE;AUCUN
